track_id,num_frames,first_frame,last_frame,mean_conf,mean_w,mean_h
10,299,0,359,0.3780930955274448,100.94096246929871,50.519519206273515
15,241,8,296,0.4276147827320574,78.34423483061099,71.09637881710321
306,204,156,359,0.6090443267249593,80.70050707050399,58.16313261144302
177,196,120,318,0.5474081839225731,97.04927031847896,78.93198005520567
149,175,106,280,0.7071473501409803,129.91212785993304,78.46483049665179
16,159,15,182,0.4716029630142188,84.70710130607557,64.72170425511007
1,158,0,157,0.6504724976382678,68.41392111476463,74.85266422320016
4,144,0,143,0.5979573267201582,82.21510145399306,57.33590952555338
5,134,0,133,0.5547944225037276,70.74572890552122,52.01049121458139
277,114,150,264,0.5096660002804639,49.09137605365954,62.40032396818462
6,114,0,131,0.381562025923478,41.626221773917216,39.65749800832648
595,112,248,359,0.6840842853167227,93.83165849958148,74.71494620186942
381,111,183,299,0.4601774191534197,87.3368924802488,86.65773188960445
47,109,42,152,0.6037111342500109,56.23033996022075,49.306817011002
340,102,167,325,0.40475425942271365,84.57708500880821,75.18390790153953
3,100,0,117,0.5442816418409347,49.32616943359375,44.60902160644531
99,84,78,162,0.468337615331014,81.59442066010975,78.83283051990327
30,83,30,115,0.5209687700472683,61.23071877353163,53.728741381541795
402,74,191,278,0.4098864817941511,58.87452491554054,95.54863429713893
143,71,101,171,0.6274198344056036,66.39075738611356,62.33711092237016
2,70,0,73,0.40864274799823763,43.45885968889509,38.69640851702009
704,67,280,346,0.609853440701072,58.22162958401353,69.0809818097015
167,66,115,182,0.5157352130521428,140.029648289536,80.46655643347538
749,65,294,359,0.5269362724744356,59.24064471905048,73.22606999323918
49,65,43,131,0.3456374434324411,107.06839317908654,44.50621619591346
753,62,295,359,0.5575373249669229,138.1831512451172,55.96590398973034
643,62,265,330,0.5085686536565903,50.90358315744707,55.68395208543347
185,61,121,230,0.4446920161364508,285.0016929751537,153.75628061763575
8,60,0,59,0.5260145018498102,50.482686360677086,55.222188313802086
542,60,233,300,0.5232043092449506,54.26638590494792,66.67793731689453
478,59,213,296,0.449720453912929,100.02811341366525,57.50450211864407
724,58,286,343,0.6208285190935793,63.539904364224135,78.45627725535425
763,58,297,359,0.4551487297847353,39.455515894396555,43.82355683425377
532,57,231,287,0.5723958585345954,136.5248081140351,99.44473427220395
785,57,303,359,0.5369823465221807,50.787499143366226,57.49813253837719
712,56,282,359,0.5541768952139786,157.12604604448592,64.62984575544085
527,56,230,330,0.3831005463642733,210.32029506138392,95.90033939906529
647,55,266,320,0.546044633063403,54.57573353160512,67.09484419389204
97,54,77,151,0.38716083157945563,73.04387693051939,74.0973567256221
329,50,164,213,0.544387955069542,54.18329223632813,62.136947021484374
798,50,310,359,0.5435324001312256,74.8632177734375,62.23334228515625
154,41,108,149,0.5579771028786171,54.41373350562119,57.965622320407775
800,41,310,359,0.33396655175744033,114.8214141101372,56.67165318931021
410,40,193,232,0.5859515070915222,69.51778869628906,58.65710372924805
252,37,145,189,0.45060184275781784,153.27164892248206,76.38437467008023
9,35,0,34,0.5462898850440979,54.71030447823661,63.77380022321429
700,35,280,314,0.5227206076894487,102.57879813058035,60.950041852678574
765,34,298,333,0.5122691129936892,144.45933622472427,57.97036384133732
795,33,309,352,0.41567074439742346,94.19486583362927,85.66741573449337
829,33,320,359,0.3938063428257451,124.28687633167614,74.23610802852747
688,32,277,317,0.3580840425565839,87.74384307861328,55.21906280517578
208,31,130,160,0.5436970505022234,46.33003087197581,75.7526363249748
94,31,75,126,0.32495907429725895,78.9337177891885,53.88655434885332
604,30,252,286,0.40582301119963327,25.93394266764323,55.624125162760414
881,30,329,359,0.4051726589600245,44.8335205078125,41.93554178873698
867,29,327,359,0.39967278982030935,86.02349643049568,58.734393941945044
300,28,154,182,0.556139876799924,56.98948451450893,68.34610203334263
305,28,156,188,0.3408854476043156,87.63550240652901,39.20684378487723
373,28,179,214,0.3208416061741965,38.056483677455354,28.94000462123326
743,27,292,326,0.36910896389572706,81.84174318666811,91.54818612557871
687,27,277,319,0.35137541868068556,121.9788818359375,60.146543149594905
413,27,195,230,0.31979729842256616,96.38743308738425,41.83419912832755
824,26,319,351,0.47467072995809406,125.9669189453125,88.58678260216347
886,26,329,358,0.36278096299905044,100.68742018479567,60.71683208759014
323,26,159,255,0.3293112034981067,83.55670870267429,54.28327941894531
528,25,230,257,0.42509582281112673,48.54527587890625,69.84077880859375
593,25,248,283,0.4049530458450317,25.381802978515626,64.4993896484375
59,25,57,107,0.39022915363311766,132.2791943359375,135.2592529296875
521,23,228,257,0.37662246305009595,86.6522747537364,148.07654073963994
846,21,324,344,0.6322696549551827,109.59702845982143,76.65513683500744
7,21,0,63,0.3295274107229142,53.38622320265997,50.370000930059526
939,20,340,359,0.6959620922803879,108.72100219726562,105.53736572265625
942,20,340,359,0.46987889111042025,39.608245849609375,41.43842468261719
726,20,286,321,0.3342961803078651,111.34810791015624,74.92651977539063
591,20,247,268,0.3192467600107193,99.0609375,45.873837280273435
774,18,300,322,0.3598562859826618,92.11277813381619,79.72585042317708
253,17,146,167,0.3567191958427429,162.21993210736443,255.62246165556067
935,17,339,359,0.34716473081532645,124.52932559742646,65.75893267463235
536,17,232,258,0.32967516779899597,97.77943330652573,52.896125344669116
223,15,136,152,0.4008542795976003,183.69366861979168,238.48441569010416
572,15,241,264,0.37817569375038146,39.425419108072916,32.613051350911455
621,14,258,274,0.3716362863779068,100.26507568359375,85.6060049874442
955,13,343,357,0.4157259647662823,108.66297853910007,87.25677959735577
271,13,149,199,0.35824093910364,155.61722506009616,190.6019991361178
140,13,99,161,0.33109692426828236,50.60236065204327,72.49898352989784
